Feature,A gastroesophageal disorder,A cardiovascular disorder,A dermatologic disorder,a non-inflammatory muscle or joint disorder,a pulmonary disorder,a psychiatric disorder,Any systemic inflammatory joint disorder,No definitive diagnosis
Patient does not have: stabbing character to pain,1.4,1.3,0.4,1.3,0.7,0.6,1.2,1
Patient does not have: reproducible symptoms with arm movements,1.3,1.4,2.2,0.3,1.4,1.3,0.5,1.2
Patient does not have: spasmodic character to symptoms,0.85,1.3,1.1,1.2,1,0.7,1.2,1.2
Patient does not have: environmental allergies,0.9,1.1,1,1,1.05,0.85,0.9,1.1
Patient does not have: asthma,0.7,1.1,0.9,1,0.95,0.94,0.9,1.2
Patient does not have: eczema,0.95,0.95,1,1.05,1,0.9,1.1,1
Patient does not have: vision changes,1,1.05,0.9,1.1,0.95,1.05,0.7,1.1
Patient Has: multiple symmetric joints hurt,1.4,0.8,0.5,0.3,0.7,0.8,3,0.45
Patient does not have: morning stiffness,0.95,1.2,1.1,3,1,1,0.4,1.5
Patient does not have: joint swelling,0.95,1.05,1.1,3,0.94,1,0.5,1.1
Patient does not have: enlargement of knuckles finger deformities or deviation of fingers,0.9,0.95,0.9,1.6,0.9,1,0.75,1
Patient does not have: rheumatoid nodules,0.95,0.99,1,1.2,0.95,1,0.8,1
Patient does not have: fever,1.3,1.2,0.9,2,0.7,1.2,0.8,1.5
Patient does not have: hemoptysis,0.97,1.1,1.05,1.2,0.85,1,1.05,1
Patient does not have: hematemesis,0.9,1.1,1,1.05,1.05,1,0.95,1.05
Patient does not have: panic attack in last 4 weeks,1.05,1.3,0.96,1.1,1.3,0.7,1,1.2
